11 41 43 44 65
15 19 20 61 70
16 21 33 52 70
15 19 27 35 57
09 11 34 49 66
05 07 19 46 69
07 28 29 58 59
02 09 33 47 53
04 17 20 46 64
02 08 14 20 31
08 11 29 32 40
22 43 60 63 64
26 42 47 48 63
07 22 36 45 47
03 13 42 51 58
08 15 21 27 61
02 06 25 40 45
09 14 28 59 60
24 28 39 44 66
07 18 38 58 64
11 19 28 46 47
18 22 38 39 50
15 31 40 56 66
06 17 22 57 62
06 11 50 63 68
02 04 15 21 63
11 16 23 24 30
01 17 20 52 54
07 16 34 44 61
11 24 38 62 66
03 16 25 44 55
03 12 38 53 58
38 45 46 55 67
04 19 39 42 52
05 08 13 22 48
02 03 19 52 58
07 29 43 56 57
04 06 16 21 22
02 05 30 46 61
03 05 08 31 38
16 17 25 36 37
25 31 58 64 67
21 32 38 48 62
33 35 44 55 69
23 25 40 42 60
01 07 40 43 68
22 45 48 58 61
07 08 26 30 39
07 27 37 42 59
07 24 54 57 58
05 23 52 53 59
06 22 44 53 65
30 32 42 46 48
09 14 16 26 49
10 15 20 66 68
05 10 26 58 65
15 26 28 35 45
06 14 19 56 62
09 14 26 29 66
03 12 13 19 52
03 20 31 34 65
21 26 56 61 65
21 24 36 40 70
07 11 18 30 36
21 25 36 62 63
18 30 43 68 69
17 21 27 43 56
36 41 45 51 56
17 32 40 59 61
04 13 19 63 64
20 32 35 47 64
15 17 25 32 53
07 10 12 61 65
08 14 31 58 68
01 10 44 47 56
17 18 26 52 67
41 43 51 57 70
03 06 16 38 56
17 21 35 40 53
29 45 50 59 62
09 18 40 46 69
01 09 17 27 34
19 26 31 52 68
02 35 36 54 64
13 17 19 40 69
10 26 30 52 57
24 25 47 52 57
03 10 17 26 55
06 37 39 41 46
18 47 63 68 69
08 31 32 34 45
07 38 50 52 69
17 20 42 45 65
01 26 48 51 59
14 36 44 46 53
18 22 27 38 52
04 43 56 63 68
09 22 39 41 54
04 30 34 41 64
07 11 33 58 63
10 14 20 47 70
14 21 31 34 54
06 09 17 18 48
03 05 56 61 66
03 18 41 44 68
07 08 20 36 39
05 10 19 21 50
04 27 32 57 63
08 19 26 48 49
15 22 30 41 42
04 28 29 30 60
06 23 43 49 52
17 27 28 50 55
10 15 19 45 68
22 26 27 58 66
01 19 20 32 42
10 42 48 53 62
11 37 47 53 56
04 25 37 46 67
12 23 35 38 55
09 14 40 58 69
10 41 46 52 69
02 24 25 31 65
04 33 46 58 65
10 11 17 27 54
04 08 13 34 64
11 15 37 62 64
05 07 09 20 57
27 32 47 50 53
01 36 44 54 66
05 14 24 25 27
07 18 21 31 40
14 17 28 29 44
13 37 38 40 67
04 44 58 59 70
29 49 56 66 67
04 26 42 50 60
10 19 26 28 50
03 11 12 38 43
12 14 26 28 33
03 06 16 18 58
20 43 51 55 57
08 24 53 68 69
01 31 35 48 62
17 23 36 69 70
29 53 56 59 67
07 15 25 51 60
01 10 18 20 46
19 31 37 55 67
15 19 33 39 68
03 19 24 44 50
07 33 53 61 65
04 10 27 35 58
09 15 34 61 64
26 33 45 61 68
08 13 35 46 68
06 07 14 28 59
23 45 53 58 62
18 24 27 34 60
07 31 44 45 55
14 19 34 39 59
06 13 34 46 62
18 34 44 60 69
46 54 57 58 66
27 32 50 52 57
11 44 45 46 70
05 11 25 27 64
15 16 18 39 59
09 38 47 49 68
14 39 43 44 67
20 36 37 48 67
36 43 44 55 68
26 29 41 52 64
25 28 38 59 62
03 15 42 48 56
07 10 15 31 57
19 22 24 28 53
15 25 26 38 47
03 09 50 53 64
08 10 15 17 57
11 15 31 42 63
04 18 26 27 58
03 24 29 42 47
08 22 29 43 56
04 44 53 64 70
02 22 30 42 62
12 35 46 48 69
17 20 27 31 34
08 33 39 54 58
14 25 26 41 43
12 13 21 46 57
06 26 55 56 64
10 15 20 49 53
16 20 25 30 43
20 40 44 45 50
09 16 29 37 53
19 33 37 56 57
06 20 37 40 48
11 34 36 52 66
21 23 33 35 42
09 14 57 67 70
01 05 09 10 23
32 35 37 47 55
09 20 23 26 29
10 13 32 41 51
34 52 58 59 62
08 10 20 44 46
08 19 25 36 66
11 17 32 33 46
07 16 27 44 52
05 20 22 61 70
07 13 17 21 45
28 30 31 35 66
13 19 53 54 63
01 27 32 60 67
13 15 24 67 70
13 35 39 46 55
29 47 65 69 70
02 11 21 57 60
25 33 43 51 68
24 38 44 57 58
08 17 51 57 70
03 25 28 50 60
02 08 16 18 31
34 35 41 45 54
20 27 28 58 59
07 22 37 43 44
06 17 48 54 69
15 48 56 58 70
08 12 33 56 64
02 03 14 41 64
02 09 43 49 63
04 07 13 16 60
06 12 39 61 70
10 32 48 54 55
04 06 32 52 64
09 14 27 36 52
32 48 50 51 64
28 31 33 57 62
17 36 47 51 62
03 04 18 23 38
16 18 29 31 37
03 25 30 54 70
09 11 13 31 47
17 27 49 51 66
25 40 41 52 56
37 41 42 53 63
30 44 49 53 56
17 34 40 63 64
27 37 48 63 66
03 20 23 35 60
22 30 53 55 56
17 21 29 39 56
18 31 46 54 61
20 31 40 46 61
23 43 60 63 69
06 08 31 50 65
08 27 29 38 43
07 12 17 49 53
22 43 44 47 66
12 19 34 35 68
19 30 44 56 65
03 04 10 39 58
02 09 24 49 54
09 20 36 41 54
04 09 17 27 39
16 24 25 52 60
05 11 14 23 25
18 58 60 65 67
04 12 14 35 70
14 22 30 37 60
05 08 10 17 48
11 38 44 48 70
10 17 39 42 59
12 20 31 43 45
06 14 24 42 46
23 24 42 48 53
12 15 30 50 65
06 16 37 59 62
34 47 48 50 55
04 11 13 19 31
13 20 27 61 62
03 09 11 34 39
08 12 23 39 43
11 15 37 54 68
08 14 25 51 63
04 14 24 26 46
07 27 31 34 51
15 53 56 59 63
11 17 31 43 55
11 20 26 48 70
10 24 28 33 38
04 06 11 43 48
01 04 23 40 45
16 18 28 33 67
08 16 31 48 52
08 25 38 56 59
12 26 40 48 64
06 38 47 57 63
03 25 37 40 55
02 35 49 53 63
24 33 45 47 61
13 30 36 48 62
12 14 22 24 48
19 40 47 57 65
20 34 39 43 57
17 19 27 40 68
25 37 46 48 68
07 08 26 65 67
09 21 34 42 50
14 41 44 56 62
10 50 55 56 58
05 17 28 32 63
11 59 66 67 68
03 16 21 61 62
03 06 34 54 63
08 16 22 66 68
24 37 41 61 70
09 17 23 30 46
07 24 30 48 67
18 25 43 44 57
11 29 34 48 54
01 24 25 40 70
11 22 34 44 58
08 22 24 38 64
33 47 58 59 64
05 14 15 62 66
04 14 22 43 58
07 36 58 60 62
10 42 53 67 68
03 29 56 62 64
10 12 16 49 57
04 09 42 62 68
15 20 32 37 52
29 33 39 60 66
10 12 14 24 60
18 24 31 34 55
17 24 34 56 65
10 38 40 43 65
15 32 39 50 65
14 24 31 42 48
03 34 36 59 66
02 37 48 66 68
10 33 53 54 62
08 16 30 38 61
04 15 37 59 64
02 43 48 62 64
29 52 58 60 62
04 05 31 62 69
13 26 29 38 64
21 29 35 54 60
34 44 57 62 70
09 10 25 37 38
02 08 42 43 50
10 13 61 62 70
13 22 32 60 69
05 22 26 43 49
04 38 39 54 59
04 10 20 33 57
28 31 41 42 50
25 28 40 43 63
12 24 37 42 57
07 10 30 33 59
10 16 31 42 66
33 36 63 68 69
34 46 57 65 69
08 14 27 57 67
28 34 37 56 69
03 23 28 46 62
20 31 39 46 49
01 28 61 62 63
05 28 62 65 70
15 23 53 65 70
03 45 49 61 69
04 24 46 61 70
20 22 39 54 60
27 28 32 41 69
02 22 29 31 34
39 45 52 56 59
08 16 32 48 61
01 02 11 52 64
31 32 43 63 68
23 30 40 43 66
15 30 51 62 67
08 10 41 54 68
02 07 25 35 44
07 18 29 32 45
03 20 33 34 41
01 06 13 18 49
14 16 19 38 57
01 31 32 47 56
11 26 44 45 46
01 03 12 22 42
02 13 15 21 62
09 28 30 54 60
12 15 35 64 69
01 32 40 49 63
01 02 04 19 29
01 14 30 44 62
40 41 61 66 67
21 22 39 59 68
01 17 28 56 70
02 10 46 50 56
13 35 45 49 68
02 32 47 49 68
17 25 29 39 60
02 06 11 27 44
11 13 28 65 70
01 11 37 47 51
01 03 05 08 70
14 30 33 44 56
22 33 41 48 52
05 24 52 62 66
02 11 55 58 67
11 14 51 64 68
16 17 21 36 48
09 26 53 64 66
21 34 44 49 61
14 38 40 53 70
08 15 39 64 67
04 05 10 12 18
02 07 20 55 70
02 29 38 63 66
03 19 31 32 48
01 15 18 32 45
12 34 44 47 65
08 09 32 42 59
05 13 31 43 53
16 33 51 54 67
04 29 39 42 62
11 28 31 46 59
07 25 43 56 59
04 08 23 53 59
14 38 51 64 70
01 13 26 33 52
06 30 58 60 61
07 17 18 46 66
01 04 26 35 39
24 28 42 60 64
10 17 21 38 43
07 11 13 19 58
17 19 23 24 43
14 38 48 53 58
05 12 15 46 49
28 34 41 46 47
14 17 25 48 58
01 04 14 17 40
29 41 42 49 57
10 16 27 38 43
02 06 30 31 55
03 17 23 49 66
03 11 23 29 59
17 18 33 46 60
16 29 31 65 67
28 30 39 59 70
01 42 47 64 70
04 10 18 28 62
10 12 20 38 41
01 20 30 33 42
28 37 39 42 58
04 12 36 44 57
08 23 24 25 27
06 37 46 60 70
14 15 37 42 67
16 22 40 41 59
10 17 47 51 61
16 36 54 61 64
03 07 22 27 50
03 26 55 58 70
01 14 21 22 28
06 23 38 42 58
01 54 60 68 69
10 22 42 61 69
